,test_example_id,predicted_category
0,0,m
1,1,m
2,2,m
3,3,m
4,4,f
5,5,m
6,6,m
7,7,m
8,8,m
9,9,m
10,10,m
11,11,m
12,12,f
13,13,m
14,14,f
15,15,m
16,16,m
17,17,m
18,18,f
19,19,m
20,20,f
21,21,f
22,22,m
23,23,f
24,24,f
25,25,m
26,26,m
27,27,m
28,28,m
29,29,m
30,30,m
31,31,m
32,32,m
33,33,m
34,34,m
35,35,m
36,36,m
37,37,m
38,38,m
39,39,m
40,40,m
41,41,m
42,42,f
43,43,m
44,44,m
45,45,m
46,46,m
47,47,m
48,48,m
49,49,f
50,50,f
51,51,m
52,52,m
53,53,m
54,54,m
55,55,m
56,56,m
57,57,m
58,58,m
59,59,f
60,60,m
61,61,m
62,62,f
63,63,m
64,64,m
65,65,m
66,66,m
67,67,m
68,68,m
69,69,m
70,70,f
71,71,m
72,72,m
73,73,f
74,74,f
75,75,m
76,76,m
77,77,m
78,78,m
79,79,m
80,80,m
81,81,m
82,82,m
83,83,m
84,84,m
85,85,m
86,86,f
87,87,f
88,88,m
89,89,m
90,90,m
91,91,f
92,92,m
93,93,m
94,94,f
95,95,m
96,96,f
97,97,m
98,98,m
99,99,f
100,100,m
101,101,m
102,102,m
103,103,m
104,104,m
105,105,m
106,106,m
107,107,m
108,108,m
109,109,m
110,110,m
111,111,m
112,112,f
113,113,f
114,114,m
115,115,m
116,116,m
117,117,m
118,118,f
119,119,f
120,120,m
121,121,f
122,122,m
123,123,m
124,124,f
125,125,f
126,126,m
127,127,f
128,128,m
129,129,f
130,130,m
131,131,m
132,132,f
133,133,m
134,134,m
135,135,m
136,136,m
137,137,m
138,138,m
139,139,m
140,140,m
141,141,m
142,142,f
143,143,f
144,144,m
145,145,m
146,146,m
147,147,m
148,148,m
149,149,f
150,150,m
151,151,f
152,152,m
153,153,m
154,154,f
155,155,m
156,156,m
157,157,m
158,158,m
159,159,m
160,160,m
161,161,m
162,162,m
163,163,f
164,164,m
165,165,m
166,166,m
167,167,m
168,168,m
169,169,m
170,170,m
171,171,m
172,172,m
173,173,m
174,174,m
175,175,f
176,176,m
177,177,m
178,178,m
179,179,m
180,180,m
181,181,m
182,182,m
183,183,m
184,184,m
185,185,m
186,186,m
187,187,f
188,188,m
189,189,m
190,190,m
191,191,m
192,192,m
193,193,f
194,194,m
195,195,m
196,196,m
197,197,m
198,198,m
199,199,m
200,200,m
201,201,f
202,202,f
203,203,f
204,204,m
205,205,m
206,206,m
207,207,f
208,208,f
209,209,f
210,210,f
211,211,m
212,212,m
213,213,m
214,214,m
215,215,m
216,216,m
217,217,m
218,218,m
219,219,m
220,220,f
221,221,m
222,222,m
223,223,m
224,224,f
225,225,m
226,226,m
227,227,f
228,228,m
229,229,f
230,230,m
231,231,m
232,232,m
233,233,f
234,234,m
235,235,m
236,236,f
237,237,m
238,238,m
239,239,m
240,240,m
241,241,f
242,242,m
243,243,m
244,244,f
245,245,m
246,246,m
247,247,m
248,248,f
249,249,m
250,250,m
251,251,m
252,252,m
253,253,m
254,254,m
255,255,m
256,256,m
257,257,f
258,258,m
259,259,m
260,260,m
261,261,m
262,262,m
263,263,f
264,264,m
265,265,f
266,266,m
267,267,f
268,268,m
269,269,m
270,270,f
271,271,m
272,272,m
273,273,m
274,274,m
275,275,m
276,276,m
277,277,m
278,278,m
279,279,m
280,280,m
281,281,m
282,282,m
283,283,m
284,284,m
285,285,m
286,286,m
287,287,f
288,288,m
289,289,f
290,290,m
291,291,m
292,292,f
293,293,m
294,294,m
295,295,m
296,296,m
297,297,f
298,298,f
299,299,m
300,300,m
301,301,f
302,302,m
303,303,m
304,304,m
305,305,m
306,306,m
307,307,f
308,308,m
309,309,m
310,310,m
311,311,m
312,312,m
313,313,m
314,314,f
315,315,m
316,316,m
317,317,f
318,318,m
319,319,m
320,320,f
321,321,m
322,322,m
